Temperature:  26, Humidity Level:  49, Soil Moisture:  48, CO2 Level:  45, Light Intensity:  57, Pressure: 101, pH level:  59, Pest Level:  15, Leaf health(direct):  89, Leaf health(refined):  96, Fan Status: 0, Irrigation: 0, Humidity Control: 0, Alert: 0
Temperature:  27, Humidity Level:  48, Soil Moisture:  46, CO2 Level:  50, Light Intensity:  54, Pressure: 101, pH level:  58, Pest Level:  20, Leaf health(direct): 100, Leaf health(refined):  98, Fan Status: 0, Irrigation: 0, Humidity Control: 0, Alert: 0
Temperature:  28, Humidity Level:  47, Soil Moisture:  44, CO2 Level:  55, Light Intensity:  51, Pressure: 101, pH level:  57, Pest Level:  25, Leaf health(direct): 100, Leaf health(refined):  98, Fan Status: 0, Irrigation: 0, Humidity Control: 0, Alert: 0
Temperature:  29, Humidity Level:  46, Soil Moisture:  42, CO2 Level:  60, Light Intensity:  48, Pressure: 101, pH level:  56, Pest Level:  30, Leaf health(direct): 100, Leaf health(refined):  98, Fan Status: 0, Irrigation: 0, Humidity Control: 0, Alert: 0
Temperature:  30, Humidity Level:  45, Soil Moisture:  40, CO2 Level:  65, Light Intensity:  45, Pressure: 101, pH level:  55, Pest Level:  35, Leaf health(direct):  38, Leaf health(refined):  98, Fan Status: 0, Irrigation: 0, Humidity Control: 0, Alert: 0
Temperature:  31, Humidity Level:  44, Soil Moisture:  38, CO2 Level:  70, Light Intensity:  42, Pressure: 101, pH level:  54, Pest Level:  40, Leaf health(direct):  97, Leaf health(refined):  98, Fan Status: 0, Irrigation: 0, Humidity Control: 0, Alert: 0
Temperature:  32, Humidity Level:  43, Soil Moisture:  36, CO2 Level:  75, Light Intensity:  39, Pressure: 101, pH level:  53, Pest Level:  45, Leaf health(direct): 100, Leaf health(refined):  90, Fan Status: 0, Irrigation: 0, Humidity Control: 0, Alert: 0
Temperature:  33, Humidity Level:  42, Soil Moisture:  34, CO2 Level:  80, Light Intensity:  36, Pressure: 101, pH level:  52, Pest Level:  50, Leaf health(direct): 100, Leaf health(refined):  88, Fan Status: 0, Irrigation: 0, Humidity Control: 0, Alert: 0
Temperature:  34, Humidity Level:  41, Soil Moisture:  32, CO2 Level:  85, Light Intensity:  33, Pressure: 101, pH level:  51, Pest Level:  55, Leaf health(direct):  10, Leaf health(refined):  89, Fan Status: 0, Irrigation: 0, Humidity Control: 0, Alert: 0
Temperature:  35, Humidity Level:  40, Soil Moisture:  30, CO2 Level:  90, Light Intensity:  30, Pressure: 101, pH level:  50, Pest Level:  60, Leaf health(direct):  36, Leaf health(refined):  73, Fan Status: 0, Irrigation: 0, Humidity Control: 0, Alert: 1
Temperature:  36, Humidity Level:  39, Soil Moisture:  28, CO2 Level:  95, Light Intensity:  27, Pressure: 101, pH level:  49, Pest Level:  65, Leaf health(direct):  44, Leaf health(refined):  41, Fan Status: 0, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  37, Humidity Level:  38, Soil Moisture:  26, CO2 Level: 100, Light Intensity:  24, Pressure: 101, pH level:  48, Pest Level:  70, Leaf health(direct):  55, Leaf health(refined):   9, Fan Status: 0, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  38, Humidity Level:  37, Soil Moisture:  24, CO2 Level: 105, Light Intensity:  21, Pressure: 101, pH level:  47, Pest Level:  75, Leaf health(direct):  42, Leaf health(refined):   1, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  39, Humidity Level:  36, Soil Moisture:  22, CO2 Level: 110, Light Intensity:  18, Pressure: 101, pH level:  46, Pest Level:  80, Leaf health(direct):  12, Leaf health(refined):   1, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  40, Humidity Level:  35, Soil Moisture:  20, CO2 Level: 115, Light Intensity:  15, Pressure: 101, pH level:  45, Pest Level:  85, Leaf health(direct):  62, Leaf health(refined):   1, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  41, Humidity Level:  34, Soil Moisture:  18, CO2 Level: 120, Light Intensity:  12, Pressure: 101, pH level:  44, Pest Level:  90, Leaf health(direct): 100, Leaf health(refined):   1, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  42, Humidity Level:  33, Soil Moisture:  16, CO2 Level: 125, Light Intensity:   9, Pressure: 101, pH level:  43, Pest Level:  95, Leaf health(direct): 100, Leaf health(refined):  17, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  43, Humidity Level:  32, Soil Moisture:  14, CO2 Level: 130, Light Intensity:   6, Pressure: 101, pH level:  42, Pest Level: 100, Leaf health(direct): 100, Leaf health(refined):  33, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  44, Humidity Level:  31, Soil Moisture:  12, CO2 Level: 135, Light Intensity:   3, Pressure: 101, pH level:  41, Pest Level: 105, Leaf health(direct):  45, Leaf health(refined):  49, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  45, Humidity Level:  30, Soil Moisture:  10, CO2 Level: 140, Light Intensity:   0, Pressure: 101, pH level:  40, Pest Level: 110, Leaf health(direct): 100, Leaf health(refined):   4, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  46, Humidity Level:  29, Soil Moisture:   8, CO2 Level: 145, Light Intensity: 253, Pressure: 101, pH level:  39, Pest Level: 115, Leaf health(direct): 100, Leaf health(refined):  20, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  47, Humidity Level:  28, Soil Moisture:   6, CO2 Level: 150, Light Intensity: 250, Pressure: 101, pH level:  38, Pest Level: 120, Leaf health(direct):  65, Leaf health(refined):  36, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  48, Humidity Level:  27, Soil Moisture:   4, CO2 Level: 155, Light Intensity: 247, Pressure: 101, pH level:  37, Pest Level: 125, Leaf health(direct):  35, Leaf health(refined):  68, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  49, Humidity Level:  26, Soil Moisture:   2, CO2 Level: 160, Light Intensity: 244, Pressure: 101, pH level:  36, Pest Level: 130, Leaf health(direct): 100, Leaf health(refined):  93, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  50, Humidity Level:  25, Soil Moisture:   0, CO2 Level: 165, Light Intensity: 241, Pressure: 101, pH level:  35, Pest Level: 135, Leaf health(direct): 100, Leaf health(refined):  90, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  51, Humidity Level:  24, Soil Moisture: 254, CO2 Level: 170, Light Intensity: 238, Pressure: 101, pH level:  34, Pest Level: 140, Leaf health(direct): 100, Leaf health(refined):  94, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
